generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1740000,grahami,hendersoni,0,0.234125,-0.0410432,0.0326277,0
1750000,grahami,hendersoni,0,0.277697,-0.0527369,0.0108662,0
1760000,grahami,hendersoni,0,0.221169,-0.0461441,0.0106343,0
1770000,grahami,hendersoni,0,0.172224,-0.0320457,0.00245486,0
1780000,grahami,hendersoni,0,0.140619,-0.027241,0.0098611,0
1780000,barbouri,NA,46.1984,0.180964,0.0191795,0.122723,0
1790000,grahami,hendersoni,0,0.171263,-0.0358258,0.00520727,0
1800000,grahami,hendersoni,0,0.164913,-0.0363222,0.00390161,0
1810000,grahami,hendersoni,0,0.269633,-0.0510293,0.01412,0
1820000,grahami,hendersoni,0,0.151205,-0.0304097,0.0162189,0
1830000,grahami,hendersoni,0,0.13294,-0.0251364,0.000833242,0
1840000,grahami,hendersoni,0,0.115057,-0.0237968,0.00537942,0
1850000,grahami,hendersoni,0,0.281347,-0.0485815,0.00117948,0
1860000,grahami,hendersoni,0,0.24709,-0.0475841,0.0141241,0
1870000,grahami,hendersoni,0,0.172677,-0.0387978,0.00775329,0
1880000,grahami,hendersoni,0,0.156315,-0.0372067,0.00439835,0
1890000,grahami,hendersoni,0,0.15259,-0.0323743,0.00932878,0
1900000,grahami,hendersoni,0,0.330924,-0.051717,0.0213979,0
1910000,grahami,hendersoni,0,0.211312,-0.0463421,0.0088173,0
1920000,grahami,hendersoni,0,0.239194,-0.0407986,0.0213215,0
1930000,grahami,hendersoni,0,0.137204,-0.0304497,0.00627324,0
1940000,grahami,hendersoni,0,0.222596,-0.0402803,0.00422375,0
1950000,grahami,hendersoni,0,0.310555,-0.0522028,0.039426,0
1960000,grahami,hendersoni,0,0.272617,-0.053023,0.00608109,0
1970000,grahami,hendersoni,0,0.217416,-0.0379671,0.0178704,0
1980000,grahami,hendersoni,0,0.248333,-0.0519455,0.0196127,0
1990000,grahami,hendersoni,0,0.294191,-0.0487579,0.0253336,0
2000000,grahami,hendersoni,0,0.167848,-0.0329647,0.00813238,0
2010000,grahami,hendersoni,0,0.1215,-0.0300108,0.00177196,0
2020000,grahami,hendersoni,0,0.248705,-0.0529205,0.00168403,0
2030000,grahami,hendersoni,0,0.121275,-0.0304104,0.00481752,0
2040000,grahami,hendersoni,0,0.272516,-0.0395537,0.0386243,0
2050000,grahami,hendersoni,0,0.206939,-0.0432478,0.0044016,0
2060000,grahami,hendersoni,0,0.308985,-0.0462868,0.027012,0
2070000,grahami,hendersoni,0,0.295498,-0.0499328,0.0145654,0
2080000,grahami,hendersoni,0,0.124065,-0.0218083,0.0097185,0
2090000,grahami,hendersoni,0,0.176115,-0.0425644,0.00382475,0
2100000,grahami,hendersoni,0,0.279753,-0.0476319,0.00837085,0
2110000,grahami,hendersoni,0,0.207221,-0.0416358,0.00151044,0
2120000,grahami,hendersoni,0,0.220699,-0.0423279,0.0158984,0
2130000,grahami,hendersoni,0,0.252427,-0.0439055,0.0157933,0
2140000,grahami,hendersoni,0,0.269098,-0.0396922,0.0362997,0
2140000,mestrei,NA,39.1931,0.0815416,0.0208509,0.311831,0
2150000,grahami,hendersoni,0,0.226753,-0.0465037,0.0142527,0
2150000,smallwoodi,equestris,37.7125,0.454346,-0.00295449,0.520611,0
2160000,grahami,hendersoni,0,0.119167,-0.0275647,0.00163406,0
2170000,grahami,hendersoni,0,0.143867,-0.0282444,0.00581984,0
2180000,grahami,hendersoni,0,0.187405,-0.0382151,0.00763467,0
2190000,grahami,hendersoni,0,0.217378,-0.0416301,0.00491185,0
2200000,grahami,hendersoni,0,0.153963,-0.0334105,0.00775656,0
2210000,grahami,hendersoni,0,0.197294,-0.0370466,0.0108966,0
2220000,grahami,hendersoni,0,0.204607,-0.0396188,0.00911563,0
2230000,grahami,hendersoni,0,0.158087,-0.0289767,0.0233599,0
2240000,grahami,hendersoni,0,0.155166,-0.0332428,0.00531903,0
2250000,grahami,hendersoni,0,0.184619,-0.0344962,0.0144775,0
2260000,grahami,hendersoni,0,0.245354,-0.0432047,0.019387,0
2270000,grahami,hendersoni,0,0.185067,-0.0366404,0.00863607,0
2280000,grahami,hendersoni,0,0.139022,-0.0333564,0.00210456,0
2290000,grahami,hendersoni,0,0.191982,-0.0404353,0.0218845,0
2300000,grahami,hendersoni,0,0.179698,-0.0422092,0.00627124,0
2310000,grahami,hendersoni,0,0.171836,-0.0282681,0.0460733,0
2320000,grahami,hendersoni,0,0.163396,-0.0332729,0.00558672,0
2330000,grahami,hendersoni,0,0.292989,-0.0448636,0.0319159,0
2340000,grahami,hendersoni,0,0.085496,-0.0136747,0.00106707,0
2350000,grahami,hendersoni,0,0.226494,-0.0430039,0.0118158,0
2360000,grahami,hendersoni,0,0.196687,-0.0380309,0.0176108,0
2370000,grahami,hendersoni,0,0.187028,-0.0428717,0.00345842,0
2380000,grahami,hendersoni,0,0.203433,-0.0373656,0.00801133,0
2390000,grahami,hendersoni,0,0.18903,-0.042407,0.0131371,0
2400000,grahami,hendersoni,0,0.206452,-0.0407615,0.0039806,0
2410000,grahami,hendersoni,0,0.150447,-0.0314916,0.00136495,0
2410000,cuvieri,NA,27.8042,0.30622,-0.0348275,0.269151,0
2420000,grahami,hendersoni,0,0.206583,-0.0412611,0.00437422,0
2420000,smallwoodi,equestris,18.5027,0.213293,0.00339983,0.0644278,0
2430000,grahami,hendersoni,0,0.257017,-0.0473696,0.00996224,0
2440000,grahami,hendersoni,0,0.141491,-0.0282022,0.00546904,0
2450000,grahami,hendersoni,0,0.154425,-0.0354159,0.021953,0
2460000,grahami,hendersoni,0,0.153177,-0.0306308,0.0151606,0
2470000,grahami,hendersoni,0,0.130054,-0.0330338,0.00583943,0
2480000,grahami,hendersoni,0,0.188842,-0.0402882,0.00464423,0
2490000,grahami,hendersoni,0,0.145799,-0.0301623,0.00466169,0
2500000,grahami,hendersoni,0,0.206325,-0.0417014,0.0222238,0
2510000,grahami,hendersoni,0,0.191207,-0.0369863,0.0113012,0
2520000,grahami,hendersoni,0,0.181245,-0.0389823,0.00236115,0
2520000,argenteolus,NA,40.8264,0.548913,0.0191985,0.266691,0
2530000,grahami,hendersoni,0,0.193052,-0.0376789,0.0205997,0
2540000,grahami,hendersoni,0,0.309757,-0.051403,0.0122709,0
2540000,darlingtoni,NA,39.7756,0.349478,-0.00209345,0.650311,0
2550000,grahami,hendersoni,0,0.215552,-0.0455763,0.00679957,0
2560000,grahami,hendersoni,0,0.210869,-0.0463357,0.00189602,0
2570000,grahami,hendersoni,0,0.220815,-0.0392185,0.0130632,0
2580000,grahami,hendersoni,0,0.283747,-0.0446742,0.0185322,0
2590000,grahami,hendersoni,0,0.142381,-0.0339405,0.00422399,0
2600000,grahami,hendersoni,0,0.155062,-0.0304555,0.0144383,0
2600000,bahorucoensis,NA,45.6869,0.0528472,0.0237956,0.315982,0
2610000,grahami,hendersoni,0,0.18467,-0.0375783,0.0131927,0
2620000,grahami,hendersoni,0,0.132976,-0.0278709,0.0102507,0
2630000,grahami,hendersoni,0,0.314077,-0.0531475,0.00723846,0
2640000,grahami,hendersoni,0,0.162122,-0.0409353,0.00503622,0
2650000,grahami,hendersoni,0,0.277157,-0.0485466,0.00276599,0
2650000,angusticeps,NA,43.7487,0.186538,0.0571201,0.0353598,0
2660000,grahami,hendersoni,0,0.215202,-0.0446256,0.00248575,0
2660000,smallwoodi,equestris,23.7985,0.0094906,-0.0112257,0.0999119,0
2660000,smallwoodi,equestris,41.1839,0.391696,-0.00180503,0.0967719,0
2670000,grahami,hendersoni,0,0.183705,-0.0397229,0.00139898,0
2680000,grahami,hendersoni,0,0.135967,-0.0249231,0.0159916,0
2690000,grahami,hendersoni,0,0.168433,-0.0338991,0.0139567,0
2690000,distichus,NA,41.3113,0.0838628,0.0341709,0.0539527,0
2700000,grahami,hendersoni,0,0.278647,-0.0432484,0.0359477,0
2710000,grahami,hendersoni,0,0.182032,-0.0411525,0.00286433,0
2720000,grahami,hendersoni,0,0.2618,-0.0550548,0.0121834,0
2730000,grahami,hendersoni,0,0.0962092,-0.0166308,0.00734406,0
2740000,grahami,hendersoni,0,0.135176,-0.0269598,0.00703011,0
2750000,grahami,hendersoni,0,0.140776,-0.0268997,0.000986007,0
2760000,grahami,hendersoni,0,0.172834,-0.0400758,0.00995932,0
2770000,grahami,hendersoni,0,0.172471,-0.0471489,0.00406917,0
2780000,grahami,hendersoni,0,0.229599,-0.046195,0.0148449,0
2790000,grahami,hendersoni,0,0.14332,-0.0292149,0.012237,0
2800000,grahami,hendersoni,0,0.221171,-0.0438648,0.00600037,0
2810000,grahami,hendersoni,0,0.191656,-0.0390328,0.00282924,0
2820000,grahami,hendersoni,0,0.257736,-0.0425786,0.0110562,0
2830000,grahami,hendersoni,0,0.216762,-0.0453853,0.0030751,0
2830000,lucius,argenteolus,12.5629,0.0984649,0.0115784,0.11341,0
2840000,grahami,hendersoni,0,0.145615,-0.0314441,0.0113984,0
2850000,grahami,hendersoni,0,0.211427,-0.0479873,0.00577038,0
2860000,grahami,hendersoni,0,0.246655,-0.0427813,0.0137315,0
